idea,sentence
Tell parents not to send their children to the taps since they climb on the poles hence breaking them.,We need tell parents send children
Do an assessment why most of mothers who give by caesarian at Kirehe hospital are facing infection so the number of them can be reduced,We need do assessment mothers give
Help the youth to create protection clubs because they can help them to know much about child rights and protection.,We need help youth create protection
Support me with iron sheets which will stay for long because plastic sheetings gets old in six months and am single mother I can't manage,We need support iron sheets stay
Bring bigger solar panels of 40 Watts such that we could power our radio for external use and maintain the main system for indoor user only.,We need bring bigger solar panels
Repairing borehole of Michinga II so that we can be getting clean water ,We need repairing borehole michinga ii
Alight would construct canteen nearby new maternity so that we can get soda and other things which can support mothers during night,We need alight would construct canteen
In maternity pad shouldn't miss so each mother who come while bleeding can't miss it,We need in maternity pad miss
Build houses to Community Based Organizations so that we can constructively contribute to our communities business interventions.,We need build houses community based
Organise more sessions and campaigns which can help people to be knowledgeable about protection because most people don't know much about it,We need organise sessions campaigns help
 Support with materials like wire mesh and nails for making shelters for our animals in order to protect people's crops ,We need support materials like wire
Advise water user committee members to encourage people wash their hands before fetching so that they can prevent corona virus.,We need advise water user committee
Be distributing masks every month in schools because the ones we receive it's elastic gets lose very fast.  ,We need be distributing masks every
Finalising the construction of a modern washstand at health center as hand wash stand that we've are very old and they're working abnormally,We need finalising construction modern washstand
Start doing caesarian here so pregnant mother who is going to give birth by caesarian for the first time it can be done here,We need start caesarian pregnant mother
Increase the number of community protection workers can be helpful in raising the awareness about protection among residents,We need increase number community protection
Building community shade in Nshungyezi so that we can be harvesting water during rainy season like other villages ,We need building community shade nshungyezi
Provide seedlings and allow cutting of trees that we planted so that we can get timbers for sale and earn income since it's our resources.,We need provide seedlings allow cutting
Distribute plastic slabs and poles to renovate latrines because the old ones are weak ,We need distribute plastic slabs poles
Keep sensitizing people to report cases concerning sexual violence because it can help for the follow up to eradicate such cases.,We need keep sensitizing people report
Partner in charge of shelter construction should ensure to renovate houses that have cracks to remove fear from PSNs when they are asleep ,We need partner charge shelter construction
Distribute sanitizers to all students so that if they fail to wash hands they can sanitize to prevent the spread of covid19.,We need distribute sanitizers students fail
Avail medicine which can stop bleeding to we pregnant mothers so we can't face miscarriage,We need avail medicine stop bleeding
Bring water at the pharmacy so we can take our drugs easily after getting them,We need bring water pharmacy take
Second nurses should be scheduled in maternity service so that one can support mothers who come in family planning service ,We need second nurses scheduled maternity
"Resolving the issue of patients who're throwing medicines behind their houses, better to brief H C W to keep checking in their villages",We need resolving issue patients throwing
They have to provide another equipment for sample testing in laboratory in order to speed up the provision of laboratory results.,We need they provide another equipment
Providing treated logs to people who don't have latrines because they cause poor hygiene in the community which can lead to cholera outbreak,We need providing treated logs people
Avail enough lab materials so we can get clear and quick results ,We need avail enough lab materials
Sensitize people to practice good hygiene and sanitation since some sickness are caused by poor hygienic practices.,We need sensitize people practice good
See the ways of supporting PSNs with shelters and other basic needs because they have spend almost 5years without supporting them ,We need see ways supporting psns
Assigning a nurse for each service point at HC can be better because some services are slower when a nurse serves different department.,We need assigning nurse service point
Increase on money ratio since some times it's the money we use to pay school fees for our children.,We need increase money ratio since
Organise short courses in business management atleast for three month such that we can learn and turn our ideas into reality.,We need organise short courses business
Allow us to enter when we bring food for our inpatients relatives instead of sending it with someone else we don't know,We need allow us enter bring
When a pregnant mother have an issue of pneumonia better to check her the reason why instead of giving her drugs,We need when pregnant mother issue
Drill another borehole in Busheka because Nationals and refugees use to fight due to lack of water ,We need drill another borehole busheka
Posters are needed to indicate service points like dentistry because they are far for new patients to know where they are.,We need posters needed indicate service
Help us with materials to clear the bushes around our homes so that we can live in a clear environment.,We need help us materials clear
"Because the added beds reduced the space in IPD rooms, better they expand the rooms so that there can be enough space.",We need because added beds reduced
Provide fresh food to we patients with the issues of intestinal so that we can't be in crisis often,We need provide fresh food patients
We need new plastic sheetings because the ones we have are old ,We need we need new plastic
Help us with cement to put in our bathrooms so that we can have good places where to bath from.,We need help us cement put
Scholastic materials should be provided to students so that they can have everything they need.,We need scholastic materials provided students
"Speed up the process of availing electricity in laboratory so that we may get its service whenever we need it, as it's not easy to get at 12",We need speed process availing electricity
Equip the pharmacy with all kinds of drugs to avoid us coming back for so many times,We need equip pharmacy kinds drugs
Provide dustbins to every household so that we can have where to put rubbish since the plots we have are small.,We need provide dustbins every household
Give us poles and iron sheets to renovate our shelter at somali water point for us to get where to sit while waiting for water,We need give us poles iron
Avail all sorts of medicines at pharmacy so that we can get effective medicines as prescribed for our sicknesses.,We need avail sorts medicines pharmacy
"Advocate for us wheel barrows, spades & pangas to use while at community work since main activities requires these tools",We need advocate us wheel barrows
Nursery schools should be constructed in all zones for our children to start studies to an early age.,We need nursery schools constructed zones
Support single mothers with plastic sheetings to cover on the leaking shelters to prevent household items from being destroyed by rain ,We need support single mothers plastic
They are supposed to give us water in our village of Kabahinda B for hygiene purposes because they don't give us water,We need they supposed give us
Support us with sanitation equipment like wheelbarrows so that it more easier for us to carry the rubbish from home to the near by roads.,We need support us sanitation equipment
They should put notice on doors of departments that are not currently working because of covid-19 for us to be aware of the changes.,We need they put notice doors
Extending water from Mugikona up to Kivuruga because sometimes nationals don't allow us to fetch ,We need extending water mugikona kivuruga
Provide CSB to malnourished children and adults in order to get what to drink to get nutrients that can support to increase immunity.,We need provide csb malnourished children
Reduce congestion on water points by extending more waterpoints since that congestion results into fighting as everyone wants to fetch first,We need reduce congestion water points
Put much more efforts in briefing youth to use condoms instead of using tablets after having sex as tables can't prevent HIV or other illnes,We need put much efforts briefing
Bring income generating activities to households that were affected by corona virus so that they can develop their livelihoods.,We need bring income generating activities
Support us with aquatabs for purifying water for consumption because water we fetch nowadays is dirty  ,We need support us aquatabs purifying
Better raise awareness on how education is the important in future because they no longer care about their children's studies.,We need better raise awareness education
Teach the community best ways of washing hands so that people are well equipped with the knowledge on how to do it. ,We need teach community best ways
Prioritize vulnerables during cash distribution because we are unable to stand for a long period of time.,We need prioritize vulnerables cash distribution
GBV should train girls how they might say no in case boys are requesting them to do unprotected sexual or how to use tablet after having it,We need gbv train girls might
Tell the government of Uganda to be giving enough plots so that when our children grows up to get where to construct their own houses ,We need tell government uganda giving
Supply clean water in villages for us to get water to drink because sharing dam water with animals is very bad,We need supply clean water villages
Archivist should provide notebooks in the afternoon as well as in the morning so that patients might get service whenever he/she came,We need archivist provide notebooks afternoon
"In case a students came for treatment in the evening, she should be treated fully for the sake of helping her to not miss the class next day",We need in case students came
Speed up the provision of transfers because the delay to get required treatment makes a patient suffer more.,We need speed provision transfers delay
Advice some among we inpatients to not go outside while still hospitalised and if he/she have any issue better to share it with a nurse,We need advice among inpatients go
Give latrine poles to people with holes so that they can cover them and have latrines and reduce on misunderstandings with their neighbours.,We need give latrine poles people
Tell them to distribute iron sheets instead of plastic sheetings because they get old within six months,We need tell distribute iron sheets
As most of us come for FP without informing our husbands services should start at least 8 o'clock so we can go back early for home duties,We need as us come fp
Better avail goats to GBV survivors in order to get what they can sell to get money for buying there needs.,We need better avail goats gbv
Distribute seeds for planting like soya bean and maize in order to get what to plant in our gardens like others.,We need distribute seeds planting like
PSNs should not be paying water service because they not able to work like others ,We need psns paying water service
Water in Juru A should be supplied at 2:00 PM for parents to be able to fetch because opening it late in the evening children waste it,We need water juru a supplied
All camp residents should be allow to attend all GBV sessions in order to help them to have skills about GBV,We need all camp residents allow
Second window of pharmacy should be opened from Monday to Friday for us to get great service everyday rather than doing it occasionally,We need second window pharmacy opened
Drill another borehole in zone 5B block 11 and 13 to make is access water easily due to the big population.,We need drill another borehole zone
Give an opportunity to rich people to extend water in their homes and be paying monthly bills because lack of water leads to stress,We need give opportunity rich people
Give us poles to renovate roofs of our houses because they are expensive to buy ,We need give us poles renovate
Rerun giving fresh food to we hospitalised patients especially to those who don't have relatives,We need rerun giving fresh food
It can be better if they start consulting us early at least from 8am in order to get all treatments early because they start a bit late.,We need it better start consulting
Bring for us better quality jerricans that can last longer so that we don't suffer with finding water to fetch water with.,We need bring us better quality
Open schools for all class levels so that all pupils can go back to school since they are going to spend the whole year with out studying.,We need open schools class levels
Guards should keep reminding outpatients to wash they hands as some of them are entering in health center without washing their hands,We need guards keep reminding outpatients
I would schedule two nurses in emergency room for the sake of providing great service to the patients who need the service from emergency,We need i would schedule two
Encourage each household to dig u it's own latrine pit since sharing is the main cause of poor sanitation within the community.,We need encourage household dig u
Drill boreholes for the host community of Akworo so that they don't come and increase the number of people who use the borehole in our block,We need drill boreholes host community
Extending water from Rwamurunga up to Michinga III because our borehole is very far ,We need extending water rwamurunga michinga
Babies under five years old should all be treated before ten o'clock before they feel hungry to avoid them crying.,We need babies five years old
Water supply should be for 24hours for everyone to be accessing water easily because accessing water is difficult,We need water supply 24hours everyone
Pay some people to fetch water for very vulnerable PSNs Who are unable to go and fetch water for themselves.,We need pay people fetch water
Renovate the houses for PSNs because doors and windows were destroyed by termites,We need renovate houses psns doors
Prioritize asthmatics who are in crisis from getting drugs at pharmacy so that we can't be hospitalized due to delaying to take them,We need prioritize asthmatics crisis getting
Treat water with a enough chemicals such that it may not be causing allergy to people who take it ,We need treat water enough chemicals
Extend water points in Kajurungutsi for community members to be accessing water without waiting for vehicles to bring water in tanks,We need extend water points kajurungutsi
Open this other gate so we HIV+ can't struggle passing by the main one to avoid us being seen by everyone,We need open gate ca struggle
Providing charcoal because Nationals don't allow us to collect firewood in their forests ,We need providing charcoal nationals allow
Give saving materials to us Maendeleo of Kinakyeitaka because we wishes to start saving our income that we always get from farming.,We need give saving materials us
"Cementing the floor of men's ward as it was damaged and in the near future it'll be worse, better to rehabilitate it as soon as possible",We need cementing floor men ward
Talk to the water users committee members to allow us who are doing brick laying projects to also have access to water to lay our bricks.,We need talk water users committee
Doctors need to respect appointment they give we patients because when missing them we really face much pain ,We need doctors need respect appointment
We need to have livelihood incentive workers who will be following our projects to move smoothly.,We need we need livelihood incentive
Let people be encouraged to form groups for saving money because it helps to fight poverty among community.,We need let people encouraged form
Hygiene promoters should increase on sanitation awareness in the community so that people have knowledge on how to practice it.,We need hygiene promoters increase sanitation
Increasing on money up to 100thousands so that we can have balance of buying charcoal as they don't provide them ,We need increasing money 100thousands balance
When we come to be treated we would like also to get our remaining drugs that we didn't get previously.,We need when come treated would
Burn plastic materials after use to reduce on rubbish because for them they can not decompose and so remains as rubbish in the compound,We need burn plastic materials use
Doctor would do the tour early so we can know if will be refer or not,We need doctor would tour early
Provide treated logs and slabs to construct latrines because ours are full and smelling bad,We need provide treated logs slabs
CHWs should not bring patients from village to be treated without queuing to avoid some complaints of patients at heath center,We need chws bring patients village
Give us soap to promote hygiene by washing our clothes regularly because pieces of soap we got last time are over,We need give us soap promote
Avail bedsheets in new maternity which can help us in case we are waiting to get our own bedsheets from home,We need avail bedsheets new maternity
"Emergency room should've 2 nurses rather than scheduling one nurse in it, whenever one is treating IPD patients, the second might treat us",We need emergency room 2 nurses
"Increase on water quantity supplied in Juru A, this will help us to get water to use because population has increased",We need increase water quantity supplied
Distribute solar TV systems to provide entertainment and learning right from our homes so as to have wider knowledge. ,We need distribute solar tv systems
Picking phones of consultants may not done during patients consultation we can't be discouraged,We need picking phones consultants may
Measures of preventing the spread of corona virus should be respected in this health center like it's respected outside of the camp,We need measures preventing spread corona
Donate enough liquid soap to all churches so that people are to wash hands since some do it with water only.,We need donate enough liquid soap
Find us another place to be registered when we HIV+ come to get porridge flour instead of mixing us with those who cane for pregnancy test,We need find us another place
Teachers should be given accommodation at school so that they can be reaching early instead of us waiting for them.,We need teachers given accommodation school
Tell them to distribute new plastic sheetings because the ones we have are leaking,We need tell distribute new plastic
Start demonstration gardens to educate community how to plant vegetables of good standard in order to get market.,We need start demonstration gardens educate
Treat both patients my kid and me adult in the same consultation room to avoid queuing two times ,We need treat patients kid adult
Avail toilet papers in maternity so that we can use them as some of us can't get money for buying them,We need avail toilet papers maternity
"Treating a patient more than five times and no change, that patient should be tested in laboratory for the sake of revealing  the cause ",We need treating patient five times
Provide the community borehole mechanics with enough tools and spare parts to facilitate them in preparing broken boreholes.,We need provide community borehole mechanics
Providing treated logs every year so that everyone can own latrine because sharing latrines can bring sicknesses ,We need providing treated logs every
Tell them to bring logs and we construct latrines because people are missing latrines yet are among the vital components of sanitation,We need tell bring logs construct
Avail place we can use to rest like fourty minutes so that we can't struggle going back home fall down ,We need avail place use rest
"Support Kasonga Graphic Designers with stationary supplies so that we can design business cards, magazines and calendars for other venders.",We need support kasonga graphic designers
Recruiting the second archivist will support us by not loosing our notebooks as the information that are in those books are very crucial,We need recruiting second archivist support
Provide all the necessary tools and detergents to help in cleaning the water sources frequently by the community members.,We need provide necessary tools detergents
Increase the number of receptionists so when some are busy we can't miss someone to direct us,We need increase number receptionists busy
The responsible partner should make sure that you provide treated water so that we can have safe water for drinking .,We need the responsible partner make
Financial support should be given to women in order to get money for buying dignity kits.,We need financial support given women
Remove the money we pay at school for because there some people who are unable to get that money.,We need remove money pay school
Put water in these taps near public toilets so that it can facilitate we circumcised youth taking drugs to reduce pain ,We need put water taps near
They would avail air condition in all IPD rooms so when it is hot we can turn on in order to sleep comfortably,We need they would avail air
Raising awareness about corona-virus because people don't wear masks which is very dangerous ,We need raising awareness people wear
Resume fish farming as it was before so that parents with malnourished children can have where to buy fish.,We need resume fish farming parents
"In case we have many patients, better to prioritize patients who've serious sickness rather than obliging them to remain in the waiting hall",We need in case many patients
Prioritize we elders who don't even know where to queue to avoid us waiting for so long before being received in consultation rooms.,We need prioritize elders even know
Make sure that water is open throughout the whole month instead of stopping after all of us have paid for it because it makes us in happy ,We need make sure water open
Bedsheets may be washed and be back in maternity on the same day to avoid using wrappers ,We need bedsheets may washed back
Keep using two nurses at consultation can quicken the service delivery there because services are slow with one serving nurse.,We need keep using two nurses
Strictly punishing people raping cases can help a lot in eradicating such cases because they are highly increasing in our community.,We need strictly punishing people raping
We are requesting health center to start providing service early nowadays instead of treating us at 8:45 am yet they will leave here early,We need we requesting health center
Allow children for People with special needs to study for free since their parents can't afford to pay.,We need allow children people special
Increase awareness campaigns in a way to let people know much about gender based violence as most of people don't put much emphasis.,We need increase awareness campaigns way
Start consulting patients at least from 7:00 am in order to help us to get service early and get time of doing our daily activities at home,We need start consulting patients least
Spray chemicals in houses and latrines to kill vectors that hide in cracked walls hence promoting good health and hygiene,We need spray chemicals houses latrines
Continue raising awareness about corona-virus because people don't respect prevention measures ,We need continue raising awareness people
Support us Stream of Life Choir with a tricycle so that we can use it for transport business and earn income to support our association.,We need support us stream life
Those who work in emergency room should remain there so that we critically sick can't miss someone to treat us,We need those work emergency room
Provide sanitary materials especially pads to old girl students so that they can feel comfortable when in their periods.,We need provide sanitary materials especially
Elders couldn't queue because we sometimes suffer from backache better to treat us without token numbers we can go back home ,We need elders could queue sometimes
"As nowadays we have many cases of patients who're going back at home without getting drugs that was prescribed to them,better to  resolve it",We need as nowadays many cases
"For a large and spread out block like zone 5B, two water pumping sites should be put in place for all parts of the zone to receive water.",We need for large spread block
Give us jerrycans to enable us to be fetching enough water for domestic use because we have few jerrycans ,We need give us jerrycans enable
Pregnant mothers should have their own token numbers so they can be prioritized at all services.,We need pregnant mothers token numbers
To work with community leaders to fight against the use of drugs among the youth because it can impact in the reduction of raping cases.,We need to work community leaders
Dustbins are more modern so show them to newcomers we can't miss where to put rubbishes while they are here ,We need dustbins modern show newcomers
"Improvement that I want to see next month, it's simply start treating patients at agreed time which is 8:00am rather than 9:00am",We need improvement i want see
We need to have a person who can stay in the waiting hall with the aim of supporting us to know patients who need first support,We need we need person stay
Mobilising people to give information on sexual violence cases on time because it can be helpful in eradication of such acts.,We need mobilising people give information
Bring we pregnant mothers wrappers we can use on check up appointment day to avoid those who are poor missing them,We need bring pregnant mothers wrappers
Help us with materials to use in renovation of our latrines so that we can have safe places to use that using open places.,We need help us materials use
Support us Waibuga Youths who are learning Computer with photocopying machine because we wish to start a stationary and earn income.,We need support us waibuga youths
Those who bring results in FP service would wait few minutes so we can also get laboratory paper to avoid getting service a bit late,We need those bring results fp
See how they can supply water in kabahinda and kahirimbi zones for people to have hygiene thus preventing them from diseases,We need see supply water kabahinda
Distribute jerry cans to enable us to be keeping fetched water for some days as we don't fetch daily ,We need distribute jerry cans enable
Hire at least five nurses and two more doctors so we can get quick services and won't miss our appointments anymore,We need hire least five nurses
Three or four benches are needed at minor surgery waiting area in order to help to sit without squeezing,We need three four benches needed
Avail someone to remind pregnant mothers and other patients who attend ANC to wash hands to avoid spread of covid-19,We need avail someone remind pregnant
Provide free education so that the rate of dropouts could reduce due to lack of school fees.,We need provide free education rate
Continue raising awareness about corona virus because people are no longer respecting prevention measures ,We need continue raising awareness corona
Start treating patients early at least start at 8:00am rather than starting at 9:00 as nowadays 8 hours of working isn't respected at all,We need start treating patients early
Avail pregnant test in maternity so we can be checked here to avoid queueing at the laboratory because it takes much time,We need avail pregnant test maternity
Support kivuruga youth group with tailoring machines in order to avoid congestion when using one machine to learn.,We need support kivuruga youth group
They would avail HIV test in maternity so when we come at the family planning service we can be tested HIV also,We need they would avail hiv
Hours for supplying water should be from 2:00 PM to 6:00 PM in Kankingi zone for all us to be fetching because two hours are not enough,We need hours supplying water pm
Better to test covid-19 to all camp residents as nowadays we have many patients who've signs and symptoms which are like symptoms of corona,We need better test camp residents
WASH partner should make sure that there is enough water within the camp since we can't maintain sanitation without it.,We need wash partner make sure
Coming on circumcision service being adults is shameful among youth so separate us from them for more comfortability,We need coming circumcision service adults
Commercial institutions that would be providing loans in form of capital should be extended to operate in our settlement.,We need commercial institutions would providing
Make a water plant here at kabahinda B so that it can be supplying water all villages of kabahinda because we have a serious water shortage ,We need make water plant kabahinda
Consider PSNs who are in older ages and support us with hens to provide eggs that would help to regain energy.,We need consider psns older ages
A school for the children with disabilities should be constructed because studying with normal ones always discriminate our children.,We need a school children disabilities
For we illiterate they should avail someone near the pharmacy to explain us deeply how to take these drugs because we sometimes forget it.,We need for illiterate avail someone
Schedule two nurses in maternity service during night so that mothers might get support on time ,We need schedule two nurses maternity
Avail enough materials in maternity so when a nurse start doing PF to us she can't move there until she finish giving us service,We need avail enough materials maternity
Mothers who come on first pregnancy check up may be availed pure water in these two filters instead of missing them ,We need mothers come first pregnancy
Extend more water points in communities to reduce on chaos at taps because we are many but taps are few,We need extend water points communities
Repair this briquettes laying machine because we can't get money to repair this machine.,We need repair briquettes laying machine
This health center should have tools which can help us to know our sickness instead of prescribing medicines only,We need this health center tools
Increase on fetching hours so that all of us can be fetching because people who come from far reaches the water point when water is over ,We need increase fetching hours us
Help us with materials to use in digging up rubbish pits so that we can get where to put the rubbish instead of scattering it everywhere.,We need help us materials use
It would be better if they can distribute plastic sheetings twice in year because they get old in six months,We need it would better distribute
"In order to fight against poverty,distribute more safe ride motorcycles to youth in order to have what to do.",We need in order fight poverty
Avail pure drinking water in all services to avoid us drinking this one of the tank which is from rain because it can cause us some diseases,We need avail pure drinking water
The cleaner who has telecommand TV at ANC may not go so far to avoid movie closing itself and miss someone to open it for good service,We need the cleaner telecommand tv
Provide sanitizer to every student at Bujuburi secondary school in order to prevent themselves from getting Covid-19.,We need provide sanitizer every student
Shift water tanks in Ngarama C to the top of the hill so that water can have high pressure because pressure is low,We need shift water tanks ngarama
"As there are some old patients among we HIV+, they would open this gate near old maternity because it is hard for them to carry that CSB+",We need as old patients among
I would increase consultation rooms at least from 3 up to 5 so that patients might get quick service,We need i would increase consultation
Support me with plot where I can construct the houses because am tired of being rent every month ,We need support plot i construct
"When my sachets have been damaged, they would give us sac so we can bring our CSB+ comfortably",We need when sachets damaged would
Supply grain silos to have where to keep our harvests in order to prevent them from pests and avoid poor storage challenges.,We need supply grain silos keep
If I have missed my rendezvous but having explanations they should receive me whenever I come instead of fixing a new one.,We need if i missed rendezvous
Bring new generators for us to be accessing water all the time because when the available one gets a mechanical issue we lack water ,We need bring new generators us
It is better to consider youth during Griffin worx trainings because they are the future generation to cause positive change.,We need it better consider youth
Support PSNs with more jerricans and wheel barrows for fetching and storing water in the house.,We need support psns jerricans wheel
Do circumcision check up at the same time we come to avoid infections as we sometimes come while bleeding,We need do circumcision check time
Avail ibuprofen in the night so that patients who need them might get them easily rather than telling us that they don't have them,We need avail ibuprofen night patients
Introduce solar powered sauce pans that could use the current system to warm water for tea and bathing to reduce firewood consumption,We need introduce solar powered sauce
Better to use at least two consulting nurses for us to be served as quick as possible because there are many awaiting patients.,We need better use least two
"Due to insufficient of firewood, they need avail tree seedlings for planting such that in future we can get what to use when cooking food.",We need due insufficient firewood need
Issue some sweeping brooms poor individuals so that they are able to maintain proper hygiene on daily basis.,We need issue sweeping brooms poor
"As some of we HIV+ didn't get lamps others mattress, better to advocate for us so we can get them as well",We need as get lamps others
Renovate distribution shelter of base camp using iron sheets for us to get where to sit when it is raining,We need renovate distribution shelter base
Teach community leaders how we patients who have heartache can live with neighbors to avoid us things which can provoke crisis,We need teach community leaders patients
If they can get a way they can give us logs to build latrines and improve on hygiene it would be better because many people lack latrines,We need if get way give
Support each household with washing facility like small Jerry cans so that they can wash hands everyday to prevent the spread of covid19. ,We need support household washing facility
Construct public latrines in all market places because people use our latrines hence getting full in a short time yet we have small plots ,We need construct public latrines market
Renovate PSNs houses such that they may not be asking for shelters from neighbors especially when it is raining,We need renovate psns houses may
Better to open the gate near old maternity of we HIV+ who come to take CSB+ because we are not feel comfortable to pass by the main one,We need better open gate near
Increase the rate of doing awareness on sanitation especially in zone 5B block 12C to prevent disease out breaks.,We need increase rate awareness sanitation
We from hospitalization might be prioritised to get drugs from pharmacy because we don't have much energy to stand so long,We need we hospitalization might prioritised
Distribute materials like logs and slabs for us to have latrines that last for long because weak logs we use last for few days,We need distribute materials like logs
Support single mothers with new plastic sheetings to replace the ones which are leaking in order for us to stay in good shelters ,We need support single mothers new
Request drugs early which remained for we patients so that it can't provoke any community issue ,We need request drugs early remained
Emphasizing people to drink boiled water in order to protect themselves with some illnesses as we don't fetch clean water ,We need emphasizing people drink boiled
Distribute cables of 16 meters in length so as to extend light in far distanced rooms since the current ones are shorter.,We need distribute cables 16 meters
Drill two boreholes at kahirimbi for people around to be fetching on them because other boreholes we use are far at kyakabindi,We need drill two boreholes kahirimbi
Advocate ways of handling businesses well to avoid losses because we do fail due to lack of these skills.,We need advocate ways handling businesses
During livelihoods implementation be doing an agreement to those who are going to receive animals to avoid selling them immediately.,We need during livelihoods implementation agreement
Increase the number of patients to be treated Friday even through nurses work half day instead of coming at reception and miss token number,We need increase number patients treated
Organise youth training about business in order to open their minds of being self reliance and stop depending much on parents.,We need organise youth training business
Instead of prescribing the same drugs while they are not helping at all nurses should change them and prescribe other kinds.,We need instead prescribing drugs helping
Give scholastic materials to students so that children study we when having all the equipments.,We need give scholastic materials students
Put a milling machine in michinga ll so that women can stop moving at night from kajaho which is leads to domestic violence.,We need put milling machine michinga
Add more taps in villages for people to fetch water in plenty because children don't fetch from taps due to congestions there,We need add taps villages people
Some of heartache patients face crisis on appointment day due to much noises at waiting are of this consultation so advise them to reduce it,We need some heartache patients face
Train more technicians to facilitate the repair services so that there will be no cases of delays and we continue to access light. ,We need train technicians facilitate repair
Providing treated logs and slabs every year as how it was before because they get spoiled by termites ,We need providing treated logs slabs
Test corona virus to the students so that they might know their life standard as nowadays there are many cases in the schools,We need test corona virus students
Support us with a veterinary doctor who will be treating our animals when they are sick in order to prevent them from these current diseases,We need support us veterinary doctor
Kids under five years old and elders should queue on the same line because they are all weak and suffering and need quick treatments,We need kids five years old
Fix metallic stands to keep our solar panels on them in order to prevent from falling off from grass thatched houses.,We need fix metallic stands keep
Renovate the PSNs houses because roofs were taken by heavy wind mostly in kiretwa A,We need renovate psns houses roofs
Nurses may start treating we patients early to avoid passing he whole dayo at heath center,We need nurses may start treating
Supply fertilizers in order to boost the fertility of our gardens in order to be harvesting enough yields for commercial purposes.,We need supply fertilizers order boost
Construct two more secondary schools because most of the children come from far and reach when very tired thus not performing well.,We need construct two secondary schools
Allow us to enter in ANC to watch TV while waiting for being circumcised instead of keep on sitting on benches outside ,We need allow us enter anc
Better farming practices should be trained to people in order to improve on season yield that we harvest.,We need better farming practices trained
Youth  volunteers who attend this heath center might not force we patients at pharmacy to put face mask while we queue for sinusitis drugs,We need youth volunteers attend heath
"Come and support me with plastic sheeting because my house is leaking and single mother ,I don't have any support",We need come support plastic sheeting
Even though they work half day on Friday they shouldn't limit the number of patients to be treated because we all need treatments,We need even though work half
Providing briquettes to all people not only PSNs because we don't have money of buying them ,We need providing briquettes people psns
Repair maternity ultrasound so we pregnant mothers can be well followed up and make valued appointment we are given from ANC,We need repair maternity ultrasound pregnant
Avail benches in new maternity so that caretakers and visitors might not sitting on the beds ,We need avail benches new maternity
"Due to high charges on depositing money from vendors to make payment, let there be cash option payment method to prevent extra costs.",We need due high charges depositing
"Offer all payment options for daily, weekly and monthly to enable us pay according to what we earn since most of us have little income. ",We need offer payment options daily
It would be better if they can distribute plastic sheetings again because they have taken many years without distributing them ,We need it would better distribute
Start providing solar powered torches to prevent us in spending money every week to buy batteries that we use in our torches. ,We need start providing solar powered
A water point should be built in Q1 V3 so that we can fetch in harmony because it is insufficient for one water point to serve two villages.,We need a water point built
Keep supplying water with high pressure will help us to boost hygiene as we shall all be served enough water to help us keep good hygiene. ,We need keep supplying water high
Providing charcoal or briquettes so that people can stop to be going in Tanzania to collect firewood ,We need providing charcoal briquettes people
Replace spoilt solar panels or the main systems with new ones such that delays in repair can't exist and we continue to access power daily. ,We need replace spoilt solar panels
Better to open water whenever time it is needed for good service as we have many tasks that don't allow us to be available at the same time.,We need better open water whenever
Tell chairmen to allow people to construct their houses without asking money from because it is not easy to get money to give them ,We need tell chairmen allow people
Better provide lunch at school so that children don't spend much time coming for lunch at home instead of being in class.,We need better provide lunch school
"As kids increase vandalism of taps during night, I would avail a person to guide the water point so that he can ensure water point safety. ",We need as kids increase vandalism
Keep running consultation service early like today so that we can't spending much time in the waiting hall a gain,We need keep running consultation service
PSNs to continue receiving briquettes because they are not able to go to collect firewood in far locations ,We need psns continue receiving briquettes
I would build a bathroom near our water point so that we can take a bath after washing clothes because we usually get back being dirty. ,We need i would build bathroom
Manufacture separate mini solar radios for outdoor use to prevent the main systems from being carried for such functions to avoid damages. ,We need manufacture separate mini solar
Give us poles and plastic sheetings to renovate our houses because poles were destroyed by termites and we don't have money to them ,We need give us poles plastic
Better to avail a water point in Q1 V3 so that we can access water easily because we now fetch it far which affects other home activities. ,We need better avail water point
Offer free education so that those who can't get money can be able to access it.,We need offer free education ca
I would sustain to mend the broken infrastructure before getting worse so as to save materials to spend on them and for good service. ,We need i would sustain mend
Providing treated logs to people who don't have latrines because they cause poor hygiene and sanitation in the community ,We need providing treated logs people
Renovate the houses for PSNs because doors were destroyed by termites,We need renovate houses psns doors
